,links,names,ratings,price for one,cuisine
138,https://www.zomato.com/visakhapatnam/mr-samosa-madhavadhara-vizag/order,Mr. Samosa,4.3,₹300 for one,Street Food
139,https://www.zomato.com/visakhapatnam/xpress-kebabs-pulka-vepagunta-vizag/order,Xpress Kebabs & Pulka,3.2,₹300 for one,"Kebab, Rolls, Street Food, North Indian"
140,https://www.zomato.com/visakhapatnam/mana-voori-pulavulu-gajuwaka-vizag/order,Mana Voori Pulavulu,3.4,₹300 for one,"North Indian, South Indian, Chinese, Biryani, Momos, Seafood, Ice Cream, Beverages"
141,https://www.zomato.com/visakhapatnam/deveesh-food-point-3-nad-junction-vizag/order,Deveesh Food Point,-,₹300 for one,South Indian
142,https://www.zomato.com/visakhapatnam/sri-rama-refreshing-zone-pendurthi-vizag/order,Sri Rama Refreshing Zone,-,₹300 for one,"Chinese, Rolls"
143,https://www.zomato.com/visakhapatnam/mr-cafe-2-pendurthi-vizag/order,Mr Cafe,4.0,₹300 for one,"Chinese, Fast Food, Sandwich, Burger, Pizza, Wraps, Shake, Beverages"
144,https://www.zomato.com/visakhapatnam/creme-berry-pendurthi-vizag/order,Creme Berry,4.0,₹300 for one,"Ice Cream, Desserts"
145,https://www.zomato.com/visakhapatnam/kava-fairfield-by-marriott-marripalem-vizag/order,Kava - Fairfield By Marriott,3.8,₹300 for one,"Continental, North Indian, Oriental, Andhra, Desserts"
146,https://www.zomato.com/visakhapatnam/mr-chef-prahaladapuram-vizag/order,Mr. Chef,4.0,₹300 for one,"Fast Food, Pizza"
147,https://www.zomato.com/visakhapatnam/masha-allah-hyderabad-dum-biryani-madhavadhara-vizag/order,Masha Allah Hyderabad Dum Biryani,-,₹300 for one,"Biryani, Hyderabadi"
148,https://www.zomato.com/visakhapatnam/simba-family-restaurant-gopalapatnam-vizag/order,Simba Family Restaurant,3.7,₹300 for one,"South Indian, North Indian, Chinese, Biryani, Beverages"
149,https://www.zomato.com/visakhapatnam/tea-time-pendurthi-vizag/order,Tea Time,3.8,₹50 for one,"Tea, Shake, Beverages, Street Food"
150,https://www.zomato.com/visakhapatnam/burger-hill-madhavadhara-vizag/order,Burger Hill,-,₹50 for one,"Burger, Fast Food, Shake, Beverages"
151,https://www.zomato.com/visakhapatnam/sameeras-food-hub-kancharapalem-vizag/order,Sameera's Food Hub,3.7,₹50 for one,"South Indian, Chinese, Biryani, Rolls"
152,https://www.zomato.com/visakhapatnam/food-story-pendurthi-vizag/order,Food Story,3.6,₹50 for one,"Pizza, Burger"
153,https://www.zomato.com/visakhapatnam/friends-tea-times-fast-foods-pendurthi-vizag/order,Friends Tea Times & Fast Foods,3.8,₹50 for one,Fast Food
154,https://www.zomato.com/visakhapatnam/tea-dot-com-nad-junction-vizag/order,Tea Dot Com,-,₹50 for one,"Tea, Shake, Beverages"
155,https://www.zomato.com/visakhapatnam/kings-pulao-pendurthi-vizag/order,King's Pulao,3.5,₹50 for one,"Chinese, Biryani, North Indian"
156,https://www.zomato.com/visakhapatnam/rujvi-food-mahal-madhavadhara-vizag/order,Rujvi Food Mahal,4.3,₹50 for one,"South Indian, Chinese, Rolls"
157,https://www.zomato.com/visakhapatnam/rasna-buzz-madhavadhara-vizag/order,Rasna Buzz,3.8,₹50 for one,"Beverages, Shake, Tea, Burger, Wraps, Momos, Fast Food, Desserts"
158,https://www.zomato.com/visakhapatnam/biryani-hub-kancharapalem-vizag/order,Biryani Hub,-,₹50 for one,"Biryani, Andhra, North Indian, Chinese, Seafood"
159,https://www.zomato.com/visakhapatnam/rajasthan-special-tea-pendurthi-vizag/order,Rajasthan Special Tea,3.9,₹50 for one,"Street Food, North Indian"
160,https://www.zomato.com/visakhapatnam/breadway-madhavadhara-vizag/order,Breadway,4.2,₹50 for one,"Bakery, Desserts, Waffle, Pancake, Fast Food, Beverages"
161,https://www.zomato.com/visakhapatnam/sri-balaji-noodles-point-1-madhavadhara-vizag/order,Sri Balaji Noodles Point,New,₹100 for one,"Chinese, Rolls"
162,https://www.zomato.com/visakhapatnam/the-thickshake-factory-1-pendurthi-vizag/order,The Thickshake Factory,4.1,₹200 for one,"Beverages, Shake"
