,links,names,ratings,price for one,cuisine
70,https://www.zomato.com/visakhapatnam/the-legendairy-milkshakes-maddilapalem-vizag/order,The Legendairy Milkshakes,4.5,₹400 for one,"Beverages, Shake"
71,https://www.zomato.com/visakhapatnam/naidu-gari-kunda-biryani-mvp-colony-vizag/order,Naidu Gari Kunda Biryani,3.8,₹400 for one,"Biryani, South Indian, North Indian, Chinese"
72,https://www.zomato.com/visakhapatnam/cake-shop-maddilapalem-vizag/order,Cake Shop,3.8,₹400 for one,"Bakery, Chinese, Sichuan, South Indian, North Indian, Biryani, Pizza, Fast Food"
73,https://www.zomato.com/visakhapatnam/cakesden-dwaraka-nagar-vizag/order,CakesDen,3.8,₹400 for one,Bakery
74,https://www.zomato.com/visakhapatnam/barbeque-nation-siripuram-vizag/order,Barbeque Nation,3.7,₹400 for one,"BBQ, North Indian, Biryani, Kebab, Continental, Chinese, Beverages, Desserts"
75,https://www.zomato.com/visakhapatnam/creme-shakes-balayya-sastri-layout-vizag/order,Creme Shakes,4.1,₹400 for one,"Desserts, Waffle, Ice Cream, Shake, Beverages"
76,https://www.zomato.com/visakhapatnam/dum-safar-biryani-by-barbeque-nation-siripuram-vizag/order,Dum Safar Biryani by Barbeque Nation,4.2,₹400 for one,"Biryani, North Indian, Kebab, BBQ, Beverages, Desserts"
77,https://www.zomato.com/visakhapatnam/dhaba-city-punjab-siripuram-vizag/order,Dhaba City Punjab,3.8,₹400 for one,"North Indian, Chinese"
78,https://www.zomato.com/visakhapatnam/the-shawarma-co-mvp-colony-vizag/order,The Shawarma Co.,3.7,₹400 for one,"Lebanese, Fast Food, Shawarma"
79,https://www.zomato.com/visakhapatnam/food-pot-allipuram-vizag/order,Food Pot,4.0,₹400 for one,"North Indian, Seafood, Chinese, Biryani"
80,https://www.zomato.com/visakhapatnam/lunchbox-meals-and-thalis-dwaraka-nagar-vizag/order,LunchBox - Meals and Thalis,3.9,₹400 for one,North Indian
81,https://www.zomato.com/visakhapatnam/varuns-eat-maharani-peta-vizag/order,Varun's Eat,4.5,₹250 for one,"North Indian, South Indian, Chinese, Kebab, Biryani, Desserts, Shake, Beverages"
82,https://www.zomato.com/visakhapatnam/yasoddha-food-express-mvp-colony-vizag/order,Yasoddha Food Express,3.9,₹250 for one,"Andhra, Chinese, Biryani, Seafood, Rolls, Street Food"
83,https://www.zomato.com/visakhapatnam/sri-siva-sai-good-foods-ram-nagar-vizag/order,Sri Siva Sai Good Foods,4.4,₹250 for one,South Indian
84,https://www.zomato.com/visakhapatnam/rizvi-dwaraka-nagar-vizag/order,Rizvi,4.2,₹250 for one,"Biryani, South Indian"
85,https://www.zomato.com/visakhapatnam/ubq-by-barbeque-nation-siripuram-vizag/order,UBQ by Barbeque Nation,3.7,₹250 for one,"BBQ, North Indian, Chinese, Street Food, Kebab, Beverages, Desserts"
86,https://www.zomato.com/visakhapatnam/jaipur-restaurant-1-allipuram-vizag/order,Jaipur Restaurant,3.9,₹250 for one,North Indian
87,https://www.zomato.com/visakhapatnam/kanhaji-family-restaurant-allipuram-vizag/order,Kanhaji Family Restaurant,4.1,₹250 for one,"North Indian, Chinese, Beverages"
88,https://www.zomato.com/visakhapatnam/swap-lawsons-bay-vizag/order,Swap,4.3,₹250 for one,Healthy Food
89,https://www.zomato.com/visakhapatnam/biryani-basket-akkayyapalem-vizag/order,Biryani Basket,3.5,₹250 for one,"Biryani, North Indian, Chinese, Rolls, Beverages"
90,https://www.zomato.com/visakhapatnam/haribabu-food-plaza-maddilapalem-vizag/order,Haribabu Food Plaza,3.2,₹250 for one,"Biryani, Chinese, South Indian, Sichuan"
91,https://www.zomato.com/visakhapatnam/reddys-food-court-maddilapalem-vizag/order,Reddy's Food Court,3.4,₹250 for one,"Chinese, Biryani, Fast Food, Rolls"
