,links,names,ratings,price for one,cuisine
121,https://www.zomato.com/visakhapatnam/plan-b-mvp-colony-vizag/order,Plan B,4.1,₹400 for one,"Chinese, Street Food, Fast Food, Pizza, Burger, Momos, Continental, Shake"
122,https://www.zomato.com/visakhapatnam/elegant-hotel-ram-nagar-vizag/order,Elegant Hotel,4.2,₹400 for one,"North Indian, South Indian, Chinese, Mughlai, Kebab, Biryani, Desserts, Beverages"
123,https://www.zomato.com/visakhapatnam/ayivs-kitchen-mvp-colony-vizag/order,Ayivs Kitchen,4.0,₹400 for one,"North Indian, Biryani, Chinese"
124,https://www.zomato.com/visakhapatnam/masters-biryani-1-maddilapalem-vizag/order,Masters Biryani,4.1,₹400 for one,"Biryani, North Indian, Chinese"
125,https://www.zomato.com/visakhapatnam/taco-bell-dwaraka-nagar-vizag/order,Taco Bell,3.6,₹400 for one,Mexican
126,https://www.zomato.com/visakhapatnam/the-lassi-shop-mvp-colony-vizag/order,The Lassi Shop,3.8,₹400 for one,"Beverages, Desserts"
127,https://www.zomato.com/visakhapatnam/the-thickshake-factory-madhavadhara-vizag/order,The ThickShake Factory,3.7,₹400 for one,"Beverages, Shake"
128,https://www.zomato.com/visakhapatnam/the-invitation-365-siripuram-vizag/order,The Invitation 365,3.8,₹400 for one,"North Indian, Mughlai, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages"
129,https://www.zomato.com/visakhapatnam/masaledaar-desi-rasoi-dwaraka-nagar-vizag/order,Masaledaar Desi Rasoi,4.1,₹250 for one,"North Indian, Chinese, Sichuan, Fast Food, Desserts, Beverages"
130,https://www.zomato.com/visakhapatnam/shahasya-foods-dondaparithy-vizag/order,Shahasya Foods,4.0,₹250 for one,"North Indian, Chinese, Street Food, Seafood, Biryani, Mughlai"
131,https://www.zomato.com/visakhapatnam/ovenfresh-cakes-and-desserts-dwaraka-nagar-vizag/order,Ovenfresh Cakes and Desserts,4.3,₹250 for one,"Bakery, Desserts, Ice Cream, Mithai, Beverages"
132,https://www.zomato.com/visakhapatnam/varuns-pulka-kitchen-dwaraka-nagar-vizag/order,Varun's Pulka Kitchen,4.2,₹250 for one,"North Indian, Chinese"
133,https://www.zomato.com/visakhapatnam/mayabazar-restaurant-allipuram-vizag/order,Mayabazar Restaurant,4.1,₹250 for one,"South Indian, Biryani, Chinese, Juices"
134,https://www.zomato.com/visakhapatnam/rasa-hotel-vivana-siripuram-vizag/order,Rasa - Hotel Vivana,4.2,₹250 for one,"Chinese, North Indian, Continental, South Indian, Biryani, Kebab, Desserts"
135,https://www.zomato.com/visakhapatnam/home-food-co-bakery-mvp-colony-vizag/order,Home Food Co Bakery,3.8,₹250 for one,"Bakery, Desserts"
136,https://www.zomato.com/visakhapatnam/oven-story-pizza-standout-toppings-dwaraka-nagar-vizag/order,Oven Story Pizza - Standout Toppings,4.2,₹250 for one,"Pizza, Fast Food"
137,https://www.zomato.com/visakhapatnam/hotel-rajasthan-palace-2-allipuram-vizag/order,Hotel Rajasthan Palace,3.5,₹250 for one,"Rajasthani, North Indian, South Indian, Gujarati, Bengali"
138,https://www.zomato.com/visakhapatnam/gismat-arabic-restaurant-lawsons-bay-vizag/order,Gismat Arabic Restaurant,3.6,₹250 for one,"Arabian, Mandi"
139,https://www.zomato.com/visakhapatnam/the-foodwala-com-ram-nagar-vizag/order,The Foodwala.Com,4.2,₹250 for one,Biryani
140,https://www.zomato.com/visakhapatnam/second-innings-from-mr-little-idli-lawsons-bay-vizag/order,Second Innings From Mr. Little Idli,4.0,₹250 for one,South Indian
141,https://www.zomato.com/visakhapatnam/pirates-mandi-nad-junction-vizag/order,Pirates Mandi,3.8,₹350 for one,"Mandi, North Indian, Chinese, Biryani"
142,https://www.zomato.com/visakhapatnam/vantalakka-biriyani-asilmetta-vizag/order,Vantalakka Biriyani,3.9,₹350 for one,"Street Food, Shake, Beverages"
143,https://www.zomato.com/visakhapatnam/hotel-ambicas-jewel-maddilapalem-vizag/order,Hotel Ambicas Jewel,3.9,₹350 for one,"North Indian, Biryani"
144,https://www.zomato.com/visakhapatnam/cakes-heaven-dondaparithy-vizag/order,Cakes Heaven,3.7,₹350 for one,Desserts
145,https://www.zomato.com/visakhapatnam/vaishali-hotel-meghalaya-asilmetta-vizag/order,Vaishali - Hotel Meghalaya,4.0,₹350 for one,"South Indian, North Indian, Chinese, Desserts, Beverages, Shake"
146,https://www.zomato.com/visakhapatnam/cool-cakes-dwaraka-nagar-vizag/order,Cool Cakes,3.7,₹350 for one,Bakery
147,https://www.zomato.com/visakhapatnam/v-hotel-olive-dwaraka-nagar-vizag/order,V Hotel Olive,4.2,₹350 for one,"South Indian, North Indian, Chinese, Thai, Seafood, Biryani, Desserts, Beverages"
148,https://www.zomato.com/visakhapatnam/arabian-shawarma-mvp-colony-vizag/order,Arabian Shawarma,4.0,₹350 for one,Shawarma
149,https://www.zomato.com/visakhapatnam/crazy-biryani-seethammadhara-vizag/order,Crazy Biryani,3.5,₹350 for one,"Biryani, Chinese, North Indian"
150,https://www.zomato.com/visakhapatnam/sri-sai-nellore-vari-mess-1-jagadamba-junction-vizag/order,Sri Sai Nellore Vari Mess,4.0,₹350 for one,Andhra
151,https://www.zomato.com/visakhapatnam/blazed-pizza-lawsons-bay-vizag/order,Blazed Pizza,3.5,₹350 for one,"Pizza, Beverages"
152,https://www.zomato.com/visakhapatnam/samosa-singh-dondaparithy-vizag/order,Samosa Singh,3.5,₹350 for one,Street Food
153,https://www.zomato.com/visakhapatnam/the-burger-company-mvp-colony-vizag/order,The Burger Company,3.6,₹200 for one,"Burger, Fast Food, Desserts, Shake, Beverages"
154,https://www.zomato.com/visakhapatnam/astas-desi-darbar-madhavadhara-vizag/order,Asta's Desi Darbar,3.7,₹200 for one,"BBQ, North Indian, Chinese, Biryani, Mughlai, Ice Cream, Beverages"
155,https://www.zomato.com/visakhapatnam/cabritoz-arabic-shawarma-maharani-peta-vizag/order,Cabritoz Arabic Shawarma,4.2,₹200 for one,Shawarma
156,https://www.zomato.com/visakhapatnam/indori-tadka-3-marripalem-vizag/order,Indori Tadka,3.7,₹200 for one,"Biryani, North Indian, Chinese, Fast Food, Street Food"
157,https://www.zomato.com/visakhapatnam/barkaas-arabic-restaurant-dwaraka-nagar-vizag/order,Barkaas Arabic Restaurant,4.0,₹200 for one,"Arabian, North Indian, Biryani, Kebab, Mandi, Desserts, Beverages"
